id,name
node1fltibpiix47800389,Anshun Huangguoshu Airport
node1fltibpiix47864800,Gabriel Vargas Santos Airport
node1fltibpiix54032912,Portland Intl
node1fltibpiix63279378,Kerema Airport
node1fltibpiix63322020,Dumaguete Airport
node1fltibpiix64326156,Reyes Airport
node1fltibpiix82887189,Cologne Bonn Airport (CGN)
node1fltibpuix22038490,Balakovo Airport
node1fltibpuix41481884,Dr.Joaquin Balaguer Intl
node1fltibpuix49105871,Hong Kong Intl
node1fltibpuix53645532,Mariscal Sucre International Airport
node1fltibpuix55818089,Philippos Airport
node1fltibpuix72663968,New York Stewart Intl
node1fltibrgax11253686,Uchiza Airport
node1fltibrgax14132858,Dortmund Airport
node1fltibrgax16471143,Lábrea Airport
node1fltibrgax26405006,Senou International Airport
node1fltibrgax42023940,Dien Bien
node1fltibrgax43431423,Willows-Glenn County Airport
node1fltibrgax48033506,Aalborg
node1fltibrgax48524817,Stansted
node1fltibrgax49884545,Tokyo Intl
node1fltibrgax52720033,Sioux Gateway Airport
node1fltibrgax54184883,Charlotte Douglas Intl
node1fltibrgax58264875,Pryor Field Regional Airport
node1fltibrgax58935829,MCAF Quantico (Turner Field)
node1fltibrgax58935840,Gdynia-Babie Doły Air Base
node1fltibrmjx11086680,Utila Airport
node1fltibrmjx11171749,Santiago de Compostela Airport
node1fltibrmjx21717502,Bathurst Island Airport
node1fltibrmjx21921991,Búðardalur Airport
node1fltibrmjx42563893,Alexandra Airport
node1fltibrmjx42795929,Auburn-Opelika Robert G. Pitts Airport
node1fltibrmjx43068073,Altamira Airport
node1fltibrmjx43068084,Tan Tan Airport {Plage Blanche Airport)
node1fltibrmjx43071389,Zhijiang Airport
node1fltibrmjx51523225,Devonport Airport (DPO)
node1fltibrmjx53824943,Warren Airport
node1fltibrmjx58450736,Rygge Airport/Rygge Air Station
node1fltibrmjx58545763,Hot Springs Municipal Airport
node1fltibrmjx58545768,Kastoria National Airport
node1fltibrmjx70575377,Payson Ranch
node1fltibrmjx78290448,Vilnius Airport (VNO)
node1fltibrpjx11159768,Strasbourg Entzheim International Airport
node1fltibrpjx11268107,Mayor Buenaventura Vivas Airport
node1fltibrpjx11371622,Salisbury-Ocean City Wicomico Regional Airport
node1fltibrpjx16522163,Joe Foss Field
node1fltibrpjx16522168,Surat Thani Airport
node1fltibrpjx16522174,Hamilton International Airport
node1fltibrpjx19448144,Naples International Airport
node1fltibrpjx21602764,Battle Mountain Airport (Lander County Airport)
node1fltibrpjx24806909,Charles de Gaulle Airport
node1fltibrpjx47518495,Mandelieu
node1fltibrpjx49118489,Geneva
node1fltibrpjx53402156,En Nahud Airport
node1fltibrpjx58343736,Oral Ak Zhol Airport
node1fltibrpjx58476696,Robinhood Airport
node1fltibrpjx61453728,Sawyer County Airport
node1flticbsax19497722,Malpensa Airport
node1flticbsax21765441,Batesville Regional Airport
node1flticbsax26808680,Capitán Germán Quiroga Guardia Airport
node1flticbsax26945621,Kota Kinabalu International Airport
node1flticbsax35022789,Hamburg Airport
node1flticbsax58318303,Madeira Airport
node1flticbsax58467590,"Kristiansand Airport, Kjevik"
node1flticbsax58489953,Valley International Airport
node1flticbsax58640427,La Grande Rivière Airport
node1flticbsax64070976,Dire Dawa International Airport
node1flticrg4x11279990,Roberts Army Heliport
node1flticrg4x16765903,Moree Airport
node1flticrg4x16765908,Soroti Airport
node1flticrg4x24456256,Perth Airport
node1flticrg4x24656105,Bologna Guglielmo Marconi Airport
node1flticrg4x35250192,Lyon Airport
node1flticrg4x53025698,A-306 Airport
node1flticrg4x53025703,Woomera Airfield
node1flticrg4x53025719,Inuvik (Mike Zubko) Airport
node1flticrg4x58225036,Gifu Air Base
node1flticrg4x58624014,Arar Domestic Airport
node1flticrg4x68209961,Norwich
node1fltidtvrx11109628,Potchefstroom Airport
