id,name
Q10848525,Taylor Airport
Q10848548,Japura Airport
Q10848687,Union Island Airport
Q10848705,Tanchon South Airport
Q10849020,W. R. Byron Airport
Q10849047,Machias Valley Airport
Q10849058,Lago Argentino Airport
Q10849322,Robert J. Miller Air Park
Q10849361,Ras al Hadd Airport
Q10849494,Red Lodge Airport
Q10849563,Ruth Airport
Q10849635,Roy Wilcox Airport
Q10849646,Royalton Airport
Q10849898,Sundance Meadows Airport
Q10850030,Smara Airport
Q10850170,Saint-Georges-de-l'Oyapock Airport
Q10850214,Sennar Airport
Q10850266,Sutter County Airport
Q10850418,Saginaw Airport
Q10850476,Silver Springs Airport
Q10850540,Xinjin Airport
Q10850788,Sebastian Municipal Airport
Q10850819,Shelby County Airport (Illinois)
Q10850849,Louisa County Airport
Q10850860,Los Alamos County Airport
Q10850887,Newnan-Coweta County Airport
Q10850944,Hale County Airport
Q10851012,Arcadia Municipal Airport
Q10851073,Sturgis Municipal Airport (South Dakota)
Q10851222,Tombstone Municipal Airport
Q10851231,Tower Municipal Airport
Q10851312,Rockwood Municipal Airport
Q10851332,Reedley Municipal Airport
Q10851351,St. George Municipal Airport (1972-2010)
Q10851438,Las Vegas Municipal Airport
Q10851446,Lanett Municipal Airport
Q10851454,Long Prairie Municipal Airport
Q10851475,Lamar Municipal Airport (Colorado)
Q10851492,Lumberton Municipal Airport
Q10851499,Longville Municipal Airport
Q10851600,New Holstein Municipal Airport
Q10851609,New Coalinga Municipal Airport
Q10851618,Newton Municipal Airport (Iowa)
Q10851659,Warsaw Municipal Airport (Missouri)
Q10851674,Wetumpka Municipal Airport
Q10851681,Worland Municipal Airport
Q10851709,Willoughby Lost Nation Municipal Airport
Q10851736,Prairie du Chien Municipal Airport
Q10851748,Princeton Municipal Airport (Maine)
Q10851768,Potsdam Municipal Airport
Q10851873,Kearney Regional Airport
Q10852022,Laguna Army Airfield
Q10852050,Henry Post Army Airfield
Q10852272,Phillips Army Airfield
Q10852431,Pearson Field
Q10852498,Kingston Airfield
Q10852631,Faya-Largeau Airport
Q10852669,Franconia Airport
Q10852713,Fergus (Royland Field) Aerodrome
Q10852721,Fergus (Vodarek Field) Aerodrome
Q10852961,La Pedrera Airport
Q10853002,Lalmonirhat Airport
Q10853042,Longreach Airport
Q10853110,Lethem Airport
Q10853135,Lombo Airport
Q10853210,Luther Airport
Q10853302,Lee Airport
Q10853338,Lisala Airport
Q10853368,Lympne Airport
Q10853379,Linden Airport
Q10853386,Linden Airport
Q10853390,Lake Chelan Airport
Q10853391,Lake Cumberland Regional Airport
Q10853392,Lakeland Airport
Q10853394,Lakeland Linder Regional Airport
Q10853395,Madras Municipal Airport
Q10853400,Malone-Dufort Airport
Q10853401,Malcolm McKinnon Airport
Q10853404,Majors Airport
Q10853410,Majkin Airport
Q10853412,Owosso Community Airport
Q10853415,Roseburg Regional Airport
Q10853418,New Richmond Regional Airport
Q10853421,Waukegan Regional Airport
Q10853423,Paulding Northwest Atlanta Airport
Q10853487,Franklin County Regional Airport
Q10853499,Winchester Regional Airport
